Id,Total
1000000US410510002001003,0
1000000US410510002001004,0
1000000US410510002001005,52
1000000US410510002001006,103
1000000US410510002001007,4
1000000US410510002001008,0
1000000US410510002001009,0
1000000US410510002001010,0
1000000US410510002001011,50
1000000US410510002001012,57
1000000US410510002001013,0
1000000US410510002001014,0
1000000US410510002001015,45
1000000US410510002001016,17
1000000US410510002001017,4
1000000US410510002001018,9
1000000US410510002001019,10
1000000US410510002001020,18
1000000US410510002001021,42
1000000US410510002001022,22
1000000US410510002001023,4
1000000US410510002001024,4
1000000US410510002001025,19
1000000US410510002001026,10
1000000US410510002001027,23
1000000US410510002001028,20
1000000US410510002002000,0
1000000US410510002002001,0
1000000US410510002002002,0
1000000US410510002002003,20
1000000US410510002002004,50
1000000US410510002002005,22
1000000US410510002002006,23
1000000US410510002002007,21
1000000US410510002002008,20
1000000US410510002002009,11
1000000US410510002002010,72
1000000US410510002002011,34
1000000US410510002002012,28
1000000US410510002002013,12
1000000US410510002002014,12
1000000US410510002002015,12
1000000US410510002002016,12
1000000US410510002002017,18
1000000US410510002002018,20
1000000US410510002002019,19
1000000US410510002002020,20
1000000US410510002002021,23
1000000US410510002002022,19
1000000US410510002002023,12
1000000US410510002002024,25
1000000US410510002002025,24
1000000US410510002002026,23
1000000US410510002002027,24
1000000US410510002002028,25
1000000US410510002002029,27
1000000US410510002002030,300
1000000US410510002002031,0
1000000US410510002002032,0
1000000US410510002002033,0
1000000US410510002002034,0
1000000US410510002002035,0
1000000US410510002002036,24
1000000US410510002002037,23
1000000US410510002002038,25
1000000US410510002002039,25
1000000US410510002002040,24
1000000US410510002002041,12
1000000US410510002003000,0
1000000US410510002003001,0
1000000US410510002003002,0
1000000US410510002003003,0
1000000US410510002003004,0
1000000US410510002003005,24
1000000US410510002003006,25
1000000US410510002003007,24
1000000US410510002003008,17
1000000US410510002003009,24
1000000US410510002003010,10
1000000US410510002003011,44
1000000US410510002003012,24
1000000US410510002003013,23
1000000US410510002003014,24
1000000US410510002003015,24
1000000US410510002003016,24
1000000US410510002003017,29
1000000US410510002003018,28
1000000US410510002003019,25
1000000US410510002003020,26
1000000US410510002003021,26
1000000US410510002003022,34
1000000US410510002003023,0
1000000US410510002003024,15
1000000US410510002003025,16
1000000US410510002003026,29
1000000US410510002003027,75
1000000US410510002003028,15
1000000US410510002003029,16
1000000US410510002003030,3
1000000US410510002003031,7
1000000US410510002003032,0
1000000US410510002003033,17
1000000US410510002003034,14
1000000US410510002003035,14
1000000US410510002003036,20
1000000US410510002003037,0
1000000US410510002003038,0
1000000US410510002004000,6
1000000US410510002004001,12
1000000US410510002004002,12
1000000US410510002004003,15
1000000US410510002004004,17
1000000US410510002004005,15
1000000US410510002004006,12
1000000US410510002004007,19
1000000US410510002004008,4
1000000US410510002004009,0
1000000US410510002004010,94
1000000US410510002004011,20
1000000US410510002004012,30
1000000US410510002004013,17
1000000US410510002004014,119
1000000US410510002004015,23
1000000US410510002004016,18
1000000US410510002004017,25
1000000US410510002004018,0
1000000US410510002004019,1
1000000US410510002004020,0
1000000US410510002004021,0
1000000US410510002004022,0
1000000US410510002004023,0
1000000US410510002004024,0
1000000US410510002004025,0
1000000US410510002004026,2
1000000US410510002004027,0
1000000US410510002004028,0
1000000US410510002004029,0
1000000US410510002004030,0
1000000US410510002004031,34
1000000US410510002004032,20
1000000US410510002004033,10
1000000US410510002004034,22
1000000US410510002004035,21
1000000US410510002004036,17
1000000US410510002004037,24
1000000US410510002004038,24
1000000US410510002004039,22
1000000US410510002004040,26
1000000US410510002004041,26
1000000US410510002004042,10
1000000US410510002004043,0
1000000US410510002004044,0
1000000US410510002004045,0
1000000US410510002004046,7
1000000US410510003011000,33
1000000US410510003011001,62
1000000US410510003011002,81
1000000US410510003011003,11
1000000US410510003011004,17
1000000US410510003011005,14
1000000US410510003011006,12
1000000US410510003011007,16
1000000US410510003011008,20
1000000US410510003011009,11
1000000US410510003011010,30
1000000US410510003011011,18
1000000US410510003011012,8
1000000US410510003011013,9
1000000US410510003011014,18
1000000US410510003011015,23
1000000US410510003011016,30
1000000US410510003011017,28
1000000US410510003011018,18
1000000US410510003011019,21
1000000US410510003012000,23
1000000US410510003012001,35
1000000US410510003012002,6
1000000US410510003012003,28
1000000US410510003012004,13
1000000US410510003012005,32
1000000US410510003012006,23
1000000US410510003012007,9
1000000US410510003012008,10
1000000US410510003012009,0
1000000US410510003012010,0
1000000US410510003012011,0
1000000US410510003012012,0
1000000US410510003012013,31
1000000US410510003012014,12
1000000US410510003012015,0
1000000US410510003012016,0
1000000US410510003012017,18
1000000US410510003012018,6
1000000US410510003012019,21
1000000US410510003012020,5
1000000US410510003012021,22
1000000US410510003012022,0
1000000US410510003012023,9
1000000US410510003012024,0
1000000US410510003012025,0
1000000US410510003012026,0
1000000US410510003012027,0
1000000US410510003012028,0
1000000US410510003012029,1
1000000US410510003012030,0
1000000US410510003012031,0
1000000US410510003012032,0
1000000US410510003012033,0
1000000US410510003012034,7
1000000US410510003012035,7
1000000US410510003012036,10
1000000US410510003012037,0
1000000US410510003012038,11
1000000US410510003012039,0
1000000US410510003012040,0
1000000US410510003013000,14
1000000US410510003013001,9
1000000US410510003013002,22
1000000US410510003013003,14
1000000US410510003013004,24
1000000US410510003013005,222
1000000US410510003013006,10
1000000US410510003013007,15
1000000US410510003013008,169
1000000US410510003013009,9
1000000US410510003013010,9
1000000US410510003013011,11
1000000US410510003013012,12
1000000US410510003013013,12
1000000US410510003013014,18
1000000US410510003013015,20
1000000US410510003013016,22
1000000US410510003013017,24
1000000US410510003013018,13
1000000US410510003013019,18
1000000US410510003013020,14
1000000US410510003013021,11
1000000US410510003013022,11
1000000US410510003013023,13
1000000US410510003014000,24
1000000US410510003014001,9
1000000US410510003014002,17
1000000US410510003014003,16
1000000US410510003014004,421
1000000US410510003014005,239
1000000US410510003021000,51
1000000US410510003021001,11
1000000US410510003021002,12
1000000US410510003021003,12
1000000US410510003021004,32
1000000US410510003021005,29
1000000US410510003021006,12
1000000US410510003021007,12
1000000US410510003021008,12
1000000US410510003021009,21
1000000US410510003021010,36
1000000US410510003021011,6
1000000US410510003021012,32
1000000US410510003021013,6
1000000US410510003021014,20
1000000US410510003021015,13
1000000US410510003021016,20
1000000US410510003021017,20
1000000US410510003021018,11
1000000US410510003021019,13
1000000US410510003021020,14
1000000US410510003021021,12
1000000US410510003021022,16
1000000US410510003021023,13
1000000US410510003021024,14
1000000US410510003022000,2
1000000US410510003022001,5
1000000US410510003022002,3
1000000US410510003022003,14
1000000US410510003022004,4
1000000US410510003022005,9
1000000US410510003022006,7
1000000US410510003022007,8
1000000US410510003022008,8
1000000US410510003022009,7
1000000US410510003022010,11
1000000US410510003022011,5
1000000US410510003022012,6
1000000US410510003022013,7
1000000US410510003022014,8
1000000US410510003022015,8
1000000US410510003022016,8
1000000US410510003022017,7
1000000US410510003022018,17
1000000US410510003022019,17
1000000US410510003022020,15
1000000US410510003022021,20
1000000US410510003022022,19
1000000US410510003022023,8
1000000US410510003022024,19
1000000US410510003022025,10
1000000US410510003022026,9
