GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410510001001016,410510001001016,"Block 1016, Block Group 1, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001001017,410510001001017,"Block 1017, Block Group 1, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001001018,410510001001018,"Block 1018, Block Group 1, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001001019,410510001001019,"Block 1019, Block Group 1, Census Tract 1, Multnomah County, Oregon",20
1000000US410510001001020,410510001001020,"Block 1020, Block Group 1, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001001021,410510001001021,"Block 1021, Block Group 1, Census Tract 1, Multnomah County, Oregon",19
1000000US410510001001022,410510001001022,"Block 1022, Block Group 1, Census Tract 1, Multnomah County, Oregon",9
1000000US410510001001023,410510001001023,"Block 1023, Block Group 1, Census Tract 1, Multnomah County, Oregon",26
1000000US410510001001024,410510001001024,"Block 1024, Block Group 1, Census Tract 1, Multnomah County, Oregon",8
1000000US410510001001025,410510001001025,"Block 1025, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001026,410510001001026,"Block 1026, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001027,410510001001027,"Block 1027, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001028,410510001001028,"Block 1028, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001029,410510001001029,"Block 1029, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001030,410510001001030,"Block 1030, Block Group 1, Census Tract 1, Multnomah County, Oregon",51
1000000US410510001001031,410510001001031,"Block 1031, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001032,410510001001032,"Block 1032, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001033,410510001001033,"Block 1033, Block Group 1, Census Tract 1, Multnomah County, Oregon",0
1000000US410510001001034,410510001001034,"Block 1034, Block Group 1, Census Tract 1, Multnomah County, Oregon",11
1000000US410510001001035,410510001001035,"Block 1035, Block Group 1, Census Tract 1, Multnomah County, Oregon",11
1000000US410510001001036,410510001001036,"Block 1036, Block Group 1, Census Tract 1, Multnomah County, Oregon",4
1000000US410510001001037,410510001001037,"Block 1037, Block Group 1, Census Tract 1, Multnomah County, Oregon",7
1000000US410510001001038,410510001001038,"Block 1038, Block Group 1, Census Tract 1, Multnomah County, Oregon",3
1000000US410510001001039,410510001001039,"Block 1039, Block Group 1, Census Tract 1, Multnomah County, Oregon",1
